Source,Target,Weight,edges_1,edges_2,edges_3,edges_4,edges_5,edges_6,edges_7
78,58,6,0,6,0,0,0,0,0
67,78,5,0,5,0,0,0,0,0
91,39,4,0,4,0,0,0,0,0
91,44,19,0,19,0,0,0,0,0
27,21,7,0,3,0,4,0,0,0
91,42,9,0,9,0,0,0,0,0
47,21,8,0,2,6,0,0,0,0
0,94,18,0,1,1,0,6,10,0
94,21,3,0,2,1,0,0,0,0
8,42,13,0,3,6,2,2,0,0
91,9,6,0,6,0,0,0,0,0
9,59,9,0,6,1,0,0,2,0
95,21,2,0,1,1,0,0,0,0
95,36,5,0,1,2,0,1,1,0
21,60,1,0,1,0,0,0,0,0
42,81,1,0,1,0,0,0,0,0
81,36,8,0,4,0,0,0,0,4
51,96,14,0,3,0,6,0,0,5
97,55,15,0,3,3,0,9,0,0
91,51,10,0,10,0,0,0,0,0
3,78,11,0,11,0,0,0,0,0
8,78,8,0,8,0,0,0,0,0
55,96,11,0,4,0,4,0,0,3
96,44,11,0,3,0,4,0,0,4
81,44,5,0,4,1,0,0,0,0
81,24,1,0,1,0,0,0,0,0
78,12,21,0,21,0,0,0,0,0
9,76,1,0,1,0,0,0,0,0
0,57,97,0,30,0,4,38,8,17
57,11,9,0,4,0,0,5,0,0
57,18,5,0,2,0,2,0,1,0
0,98,11,0,11,0,0,0,0,0
57,98,12,0,12,0,0,0,0,0
51,98,1,0,1,0,0,0,0,0
9,99,15,0,14,0,1,0,0,0
51,99,37,0,33,0,4,0,0,0
0,99,82,0,46,0,22,0,14,0
99,44,33,0,24,0,2,0,7,0
51,57,23,0,8,0,11,4,0,0
9,57,5,0,1,0,0,4,0,0
8,51,95,0,3,10,13,39,13,17
78,61,11,0,11,0,0,0,0,0
10,78,28,0,28,0,0,0,0,0
78,60,27,0,27,0,0,0,0,0
51,61,4,0,4,0,0,0,0,0
12,61,1,0,1,0,0,0,0,0
10,61,3,0,3,0,0,0,0,0
10,62,4,0,1,0,0,2,1,0
40,61,1,0,1,0,0,0,0,0
63,9,8,0,1,0,0,7,0,0
63,44,10,0,4,1,0,5,0,0
63,51,16,0,4,0,6,6,0,0
66,51,3,0,2,0,0,0,1,0
63,45,1,0,1,0,0,0,0,0
100,36,7,0,7,0,0,0,0,0
63,36,10,0,10,0,0,0,0,0
63,58,1,0,1,0,0,0,0,0
63,71,1,0,1,0,0,0,0,0
63,10,2,0,2,0,0,0,0,0
63,66,3,0,3,0,0,0,0,0
44,100,4,0,4,0,0,0,0,0
0,100,10,0,10,0,0,0,0,0
51,100,4,0,4,0,0,0,0,0
8,9,11,0,3,3,0,2,3,0
59,60,22,0,5,0,8,5,0,4
47,55,5,0,1,4,0,0,0,0
55,21,10,0,1,3,4,0,0,2
52,59,11,0,7,0,4,0,0,0
68,52,6,0,4,2,0,0,0,0
21,52,15,0,5,10,0,0,0,0
43,11,21,0,2,0,0,19,0,0
70,36,8,0,1,3,0,0,4,0
70,59,2,0,2,0,0,0,0,0
43,59,7,0,7,0,0,0,0,0
68,21,8,0,3,5,0,0,0,0
88,21,3,0,2,0,1,0,0,0
88,43,1,0,1,0,0,0,0,0
68,36,14,0,4,10,0,0,0,0
43,68,6,0,2,0,0,4,0,0
88,68,3,0,3,0,0,0,0,0
88,0,32,0,2,0,21,7,0,2
78,13,2,0,2,0,0,0,0,0
77,44,73,0,18,0,22,2,12,19
77,27,6,0,4,0,0,0,0,2
90,13,2,0,1,0,0,1,0,0
90,12,5,0,2,0,1,1,0,1
91,12,2,0,2,0,0,0,0,0
91,10,3,0,3,0,0,0,0,0
12,76,9,0,6,0,0,3,0,0
13,76,6,0,2,4,0,0,0,0
91,13,6,0,6,0,0,0,0,0
99,41,4,0,4,0,0,0,0,0
51,81,14,0,4,0,5,0,0,5
77,55,35,0,15,0,7,0,13,0
90,40,1,0,1,0,0,0,0,0
43,40,30,0,4,1,0,3,5,17
45,56,21,0,2,0,0,3,16,0
54,60,14,0,3,4,5,0,2,0
66,58,3,0,1,1,1,0,0,0
58,36,1,0,1,0,0,0,0,0
64,78,3,0,3,0,0,0,0,0
78,11,7,0,7,0,0,0,0,0
78,59,4,0,4,0,0,0,0,0
89,60,6,0,6,0,0,0,0,0
101,45,8,0,5,0,0,3,0,0
